...1,Country,Date,Cum_conf_cases,Cum_susp_cases,Cum_conf_death
607,Liberia,2014-09-24,890,921,671
608,Sierra Leone,2014-09-24,1745,158,552
611,Guinea,2014-09-22,818,28,465
612,Liberia,2014-09-22,863,817,670
613,Sierra Leone,2014-09-22,1640,136,545
616,Guinea,2014-09-18,750,30,435
617,Liberia,2014-09-18,812,675,631
618,Sierra Leone,2014-09-18,1513,123,517
621,Guinea,2014-09-16,743,31,429
622,Liberia,2014-09-16,790,539,563
623,Sierra Leone,2014-09-16,1464,119,514
626,Guinea,2014-09-12,678,32,403
627,Liberia,2014-09-12,654,453,498
628,Sierra Leone,2014-09-12,1287,100,478
631,Guinea,2014-09-08,664,47,400
632,Liberia,2014-09-08,634,443,508
633,Sierra Leone,2014-09-08,1234,90,461
636,Guinea,2014-09-05,604,56,362
637,Liberia,2014-09-05,614,369,431
638,Sierra Leone,2014-09-05,1146,78,443
641,Guinea,2014-08-29,482,25,287
642,Liberia,2014-08-29,322,382,225
643,Sierra Leone,2014-08-29,935,54,380
645,Sierra Leone,2015-03-11,8428,2904,3263
646,Guinea,2015-03-11,2871,22,1778
647,Liberia,2015-03-11,3150,4314,NA
654,Guinea,2015-03-12,2901,34,1792
655,Liberia,2015-03-12,3150,4314,NA
656,Sierra Leone,2015-03-12,8463,2927,3289
663,Guinea,2015-03-13,2911,25,1797
664,Liberia,2015-03-13,3150,4453,NA
665,Sierra Leone,2015-03-13,8469,2940,3297
672,Guinea,2015-03-16,2957,21,1821
673,Liberia,2015-03-16,3150,4453,NA
674,Sierra Leone,2015-03-16,8484,2971,3321
681,Guinea,2015-03-17,2966,28,1829
682,Liberia,2015-03-17,3150,4497,NA
683,Sierra Leone,2015-03-17,8487,2977,3325
690,Guinea,2015-03-18,2966,28,1829
691,Liberia,2015-03-18,3150,4497,NA
692,Sierra Leone,2015-03-18,8487,2977,3325
699,Guinea,2015-03-20,2988,21,1846
700,Liberia,2015-03-20,3150,4526,NA
701,Sierra Leone,2015-03-20,8508,2999,3346
708,Guinea,2015-03-23,3007,15,1863
709,Liberia,2015-03-23,3151,4563,NA
710,Sierra Leone,2015-03-23,8518,3024,3376
717,Guinea,2015-03-24,3011,20,1865
718,Liberia,2015-03-24,3151,4572,NA
719,Sierra Leone,2015-03-24,8520,3034,3381
726,Guinea,2015-03-25,3011,20,1865
727,Sierra Leone,2015-03-25,8520,3034,3381
728,Liberia,2015-03-25,3151,4572,NA
